iter	Passed	Remaining
402	15194	22509
403	15232	22472
404	15270	22435
405	15308	22397
406	15344	22356
407	15381	22318
408	15419	22280
409	15457	22243
410	15494	22205
411	15531	22166
412	15568	22128
413	15608	22092
414	15649	22059
415	15692	22029
416	15732	21994
417	15773	21961
418	15812	21926
419	15852	21891
420	15896	21862
421	15936	21827
422	15974	21789
423	16008	21747
424	16042	21704
425	16078	21664
426	16115	21625
427	16153	21588
428	16189	21547
429	16225	21508
430	16255	21460
431	16287	21414
432	16319	21369
433	16353	21327
434	16387	21285
435	16421	21241
436	16453	21197
437	16485	21152
438	16517	21107
439	16550	21064
440	16587	21025
441	16620	20982
442	16655	20941
443	16691	20902
444	16725	20859
445	16762	20821
446	16800	20784
447	16836	20745
448	16872	20705
449	16911	20669
450	16946	20628
451	16983	20590
452	17019	20550
453	17055	20512
454	17090	20470
455	17123	20428
456	17156	20384
457	17190	20342
458	17226	20304
459	17263	20265
460	17299	20226
461	17333	20185
462	17366	20142
463	17401	20101
464	17440	20066
465	17479	20030
466	17523	19999
467	17559	19960
468	17596	19922
469	17632	19883
470	17699	19879
471	17740	19845
472	17781	19811
473	17819	19774
474	17862	19743
475	17902	19707
476	17947	19677
477	17986	19642
478	18022	19603
479	18060	19565
480	18097	19527
481	18138	19492
482	18178	19458
483	18216	19421
484	18253	19382
485	18291	19345
486	18329	19308
487	18375	19279
488	18419	19248
489	18465	19219
490	18514	19193
491	18562	19165
492	18609	19138
493	18657	19110
494	18703	19081
495	18761	19063
496	18816	19043
497	18889	19041
498	18948	19024
499	19004	19004
500	19063	18987
501	19120	18967
502	19173	18945
503	19232	18927
504	19294	18912
505	19346	18887
506	19404	18868
507	19457	18845
508	19511	18821
509	19565	18798
510	19619	18774
511	19672	18750
512	19737	18737
513	19796	18718
514	19848	18692
515	19906	18671
516	19967	18654
517	20021	18629
518	20071	18601
519	20120	18572
520	20173	18547
521	20237	18531
522	20297	18512
523	20349	18485
524	20407	18463
525	20467	18444
526	20525	18422
527	20582	18399
528	20648	18384
529	20714	18369
530	20775	18350
531	20851	18343
532	20928	18337
533	20991	18318
534	21050	18295
535	21108	18272
536	21171	18254
537	21237	18237
538	21298	18216
539	21368	18202
540	21420	18173
541	21467	18140
542	21515	18107
543	21563	18075
544	21617	18047
545	21665	18015
546	21717	17985
547	21763	17950
548	21806	17913
549	21873	17896
550	21924	17866
551	21980	17839
552	22024	17802
553	22066	17765
554	22116	17733
555	22174	17707
556	22234	17683
557	22306	17669
558	22368	17646
559	22423	17618
560	22478	17589
561	22528	17557
562	22581	17528
563	22639	17501
564	22693	17472
565	22744	17440
566	22799	17411
567	22868	17392
568	22927	17366
569	22981	17336
570	23038	17308
571	23090	17277
572	23135	17240
573	23202	17219
574	23253	17187
575	23298	17150
576	23341	17111
577	23386	17074
578	23427	17034
579	23468	16994
580	23513	16956
581	23553	16916
582	23599	16880
583	23643	16842
584	23691	16806
585	23732	16766
586	23774	16727
587	23825	16694
588	23873	16658
589	23920	16622
590	23971	16589
591	24018	16553
592	24069	16519
593	24112	16480
594	24158	16443
595	24200	16404
596	24243	16365
597	24284	16325
598	24325	16285
599	24366	16244
600	24410	16206
601	24459	16170
602	24505	16133
603	24557	16100
604	24615	16071
605	24703	16061
606	24745	16021
607	24794	15985
608	24848	15953
609	24899	15919
610	24955	15888
611	25000	15849
612	25047	15812
613	25095	15776
614	25145	15741
615	25198	15708
616	25242	15669
617	25287	15630
618	25333	15593
619	25388	15560
620	25440	15526
621	25487	15489
622	25531	15449
623	25575	15411
624	25619	15371
625	25665	15333
626	25715	15298
627	25761	15259
628	25840	15241
629	25892	15206
630	25948	15174
631	26001	15139
632	26049	15102
633	26104	15069
634	26167	15041
635	26229	15011
636	26290	14982
637	26355	14954
638	26411	14921
639	26465	14886
640	26515	14850
641	26570	14816
642	26641	14791
643	26696	14757
644	26757	14726
645	26832	14703
646	26894	14673
647	26963	14646
648	27020	14613
649	27103	14594
650	27169	14565
651	27232	14534
652	27299	14507
653	27367	14479
654	27421	14443
655	27471	14405
656	27521	14368
657	27573	14331
658	27633	14298
659	27693	14266
660	27754	14234
661	27822	14205
662	27884	14173
663	27942	14139
664	28001	14106
665	28062	14073
666	28118	14038
667	28175	14003
668	28236	13970
669	28303	13940
670	28356	13903
671	28408	13865
672	28464	13830
673	28530	13799
674	28608	13774
675	28678	13745
676	28738	13711
677	28824	13689
678	28887	13656
679	28962	13629
680	29051	13608
681	29135	13585
682	29196	13550
683	29269	13521
684	29357	13500
685	29438	13474
686	29518	13448
687	29587	13417
688	29657	13386
689	29719	13352
690	29790	13321
691	29847	13284
692	29906	13248
693	29959	13209
694	30013	13171
695	30069	13133
696	30116	13092
697	30165	13051
698	30214	13010
699	30266	12971
700	30319	12932
701	30383	12897
702	30455	12866
703	30525	12834
704	30585	12798
705	30650	12763
706	30709	12726
707	30775	12692
708	30829	12653
709	30888	12616
710	30948	12579
711	31009	12543
712	31066	12504
713	31117	12464
714	31170	12424
715	31223	12384
716	31307	12356
717	31358	12316
718	31407	12274
719	31460	12234
720	31515	12195
721	31572	12156
722	31624	12116
723	31679	12076
724	31734	12037
725	31786	11996
726	31833	11953
727	31892	11915
728	31944	11875
729	31990	11832
730	32035	11788
731	32081	11745
732	32136	11705
733	32187	11664
734	32232	11621
735	32282	11579
736	32332	11537
737	32386	11497
738	32429	11453
739	32474	11409
740	32524	11368
741	32575	11326
742	32629	11286
743	32683	11245
744	32740	11206
745	32811	11171
746	32875	11134
747	32926	11093
748	32981	11052
749	33035	11011
750	33096	10973
751	33156	10934
752	33211	10894
753	33268	10854
754	33326	10814
755	33379	10773
756	33428	10730
757	33482	10689
758	33545	10651
759	33594	10608
760	33642	10565
761	33687	10521
762	33746	10482
763	33803	10441
764	33859	10401
765	33914	10360
766	33977	10321
767	34034	10281
768	34091	10240
769	34162	10204
770	34276	10180
771	34349	10144
772	34415	10106
773	34491	10071
774	34580	10039
775	34661	10005
776	34762	9976
777	34838	9940
778	34918	9906
779	35003	9872
780	35093	9840
781	35172	9804
782	35241	9766
783	35319	9730
784	35386	9691
785	35445	9650
786	35517	9612
787	35583	9573
788	35642	9531
789	35703	9490
790	35772	9451
791	35829	9409
792	35891	9368
793	35962	9330
794	36097	9308
795	36168	9269
796	36233	9228
797	36291	9186
798	36367	9148
799	36426	9106
800	36488	9065
801	36552	9024
802	36620	8983
803	36681	8942
804	36748	8901
805	36837	8866
806	36920	8829
807	36999	8791
808	37083	8755
809	37154	8715
810	37228	8676
811	37295	8635
812	37364	8594
813	37428	8552
814	37490	8510
815	37562	8469
816	37649	8433
817	37730	8394
818	37811	8356
819	37894	8318
820	37974	8279
821	38054	8240
822	38116	8197
823	38178	8154
824	38236	8110
825	38307	8069
826	38364	8025
827	38422	7981
828	38480	7937
829	38544	7894
830	38604	7851
831	38663	7806
832	38725	7763
833	38795	7721
834	38854	7677
835	38914	7633
836	38976	7590
837	39043	7547
838	39096	7502
839	39162	7459
840	39217	7414
841	39295	7373
842	39352	7329
843	39415	7285
844	39500	7245
845	39573	7203
846	39638	7160
847	39713	7118
848	39780	7075
849	39852	7032
850	39915	6988
851	39983	6945
852	40041	6900
853	40096	6854
854	40149	6808
855	40228	6767
856	40296	6723
857	40360	6679
858	40417	6634
859	40534	6598
860	40752	6579
861	40877	6544
862	40943	6499
863	41011	6455
864	41075	6410
865	41138	6365
866	41194	6319
867	41252	6273
868	41315	6228
869	41373	6182
870	41434	6136
871	41496	6091
872	41556	6045
873	41610	5998
874	41672	5953
875	41740	5908
876	41798	5862
877	41854	5815
878	41909	5769
879	41965	5722
880	42021	5675
881	42073	5628
882	42122	5581
883	42176	5534
884	42232	5487
885	42285	5440
886	42337	5393
887	42391	5346
888	42450	5300
889	42502	5253
890	42550	5205
891	42599	5157
892	42654	5110
893	42701	5063
894	42749	5015
895	42795	4967
896	42848	4920
897	42895	4872
898	42944	4824
899	42993	4777
900	43041	4729
901	43091	4681
902	43143	4634
903	43195	4587
904	43242	4539
905	43293	4491
906	43350	4444
907	43402	4397
908	43455	4350
909	43508	4303
910	43566	4256
911	43618	4208
912	43671	4161
913	43723	4114
914	43814	4070
915	43868	4022
916	43921	3975
917	43981	3928
918	44046	3882
919	44108	3835
920	44161	3788
921	44217	3740
922	44273	3693
923	44327	3645
924	44380	3598
925	44439	3551
926	44497	3504
927	44548	3456
928	44604	3408
929	44662	3361
930	44717	3314
931	44772	3266
932	44824	3218
933	44879	3171
934	44934	3123
935	44997	3076
936	45063	3029
937	45126	2982
938	45182	2935
939	45240	2887
940	45295	2840
941	45360	2792
942	45430	2746
943	45492	2698
944	45559	2651
945	45633	2604
946	45697	2557
947	45763	2510
948	45825	2462
949	45888	2415
950	45944	2367
951	46005	2319
952	46066	2271
953	46137	2224
954	46196	2176
955	46257	2128
956	46313	2080
957	46372	2033
958	46432	1985
959	46491	1937
960	46551	1889
961	46612	1841
962	46670	1793
963	46724	1744
964	46780	1696
965	46833	1648
966	46890	1600
967	46943	1551
968	46996	1503
969	47045	1455
970	47094	1406
971	47141	1357
972	47190	1309
973	47236	1260
974	47283	1212
975	47335	1163
976	47385	1115
977	47436	1067
978	47492	1018
979	47541	970
980	47601	921
981	47652	873
982	47703	824
983	47757	776
984	47806	728
985	47861	679
986	47912	631
987	47964	582
988	48016	534
989	48066	485
990	48122	437
991	48171	388
992	48218	339
993	48269	291
994	48318	242
995	48378	194
996	48427	145
997	48480	97
998	48528	48
999	48587	0
